mapudungun;espanol;ingles
tañi newenngewepelan;y no he tenido mas fuerza;And I haven't had more strength
chem lawen mapuche putukimi;que remedio mapuche tomas;What Mapuche Remedy Tomas
puru re püta pichike;puro dicen en pequenas dosis;Pure say in small doses
tamu adümani kachuke lawen;aca va a saber de remedios de pastos;here will know about pasture remedies
pichiken;uno pocos;one few
fey mu tunefiñ tati;por eso lo estoy recolectando pues;That is why I am collecting it then
femngechi trapümkan ka mülevuy ta;cuando se acumula asi puede haber ahora;When accumulates like this there may be now
inal ko müleki kachu ti  feyti;a orillas del agua se encuentra  esta;On the banks of the water is this
fey pütokokefimi;y eso lo tomas;And you take that
feyti fey pütokokefuiñ;eso si lo tomabamos;That if we took it
ka allfeñke lawen ka kimniekavuiñ;y tambien sabiamos de remedios para la herida;And we also knew remedies for the wound
fey ka pütokofuiñ;eso tambien lo tomabamos;we also took that
femngen ta pichi;apenas un poco;just a little
feyti pichiken;esos en pequenas cantidades;those in small quantities
pütokoniefiñ pichiken;lo estoy tomando de poquito;I'm taking it little
kalman;calman;Calman
chem lawen allfeñ pütokokimi;que remedio tomas para la herida;What remedy you take for the wound
fey tachi palu santu pingi tati;ese que se llama palo santo pues;the one called Palo Santo because
müdewe müdewe pingi ta kachu;mudewe mudewe se llama el pasto;Mudewe Mudewe is called the Pasto
müdewe pingi ta fachi mapu;mudewe  le dicen por estas tierras;Mudewe tell you for these lands
mapu dungumu ta müdewe pingi;el idioma mapuche se llama mudewe;The Mapuche language is called Mudewe
mütewe;mudewe;Mudewe
müdewe;mudewe;Mudewe
wingka dungun ta palu santu pingetuy ka;en el idioma huinca se le llama palo santo tambien;In the Huinca language it is called Palo Santo too
tunten tripantu nielu;cuantos anos tienes;how old are you
dewma eymi;ya  usted;and you
wechali tami ad papay;se ve mal mamita;You look bad mommy
ta  eymi kuyfi chewlu kutranlekaymi;por su edad usted se puso enfermiza;For your age you got sickly
nielu ta;el que tiene ahora;The one who has now
pichidomongen ka niekevun kutran;cuando era nina tambien tenia una enfermedad;When I was Nina, I also had a disease
ka newekelan ñi kutran;pero tambien ya no lo he tenido;But I haven't had it anymore
chuchife mongeliüm kutran eymi;y quien le sano de la enfermedad;And who has healthy disease
kutrankelan kutrankelan;no enfermo no enfermo;non -sick
chem kutran rume sentikelan;nunca he sentido ningun dolor;I have never felt any pain
kutranal chem rume;para que duela cualquier cosa;To hurt anything
külfün elpakevenew tüfa;me tenia aliviada hasta ahora;I had relieved so far
doy karkallemenu;me esta haciendo cada vez mas diferente;is making me more and more different
feytimu kellukafelimuengün;y con eso si me hubieran ayudado;And with that if they had helped me
feyano miawkakepel rume;y porsiacaso me anduviera pasando por aqui;And Porsiacaso was going through here
pensionawkakefuli rume;si me dejaran con una pension;If they leave me with a pension
kelluche kakevule küme pin;como siempre ayudan bien a las personas pense;As always help people think
chumul amupevun;la otra vez  habia ido;The other time I had gone
mülelay pingi;ya no hay dicen;There are no longer saying
feley feli;asi esta pues;So is
kelluy tüfa kiñe señora;ayuda una senora ahora;HELP A SENORA NOW
sanituli akuy tati wingka;sanito llego el huinca;Sanito arrived the huinca
inche ka kompun;y yo tambien entre;And me too
eymi puwluluve tami tripantu pienu;usted no tiene aun la edad me dijo;You still have age
femkünungen entuenu engün;me dejaron asi asi me sacaron ellos;They left me like that they took me
tañi niepel;lo que tenia;what I had
ngewetulay kellu;ya no hay ayuda;There is no help
ngewetulay kellu   tüfa felen;ya no  queda ayuda ahora estoy asi;There is no help now I'm like this
ka  niwetulan kellu;y tambien ya no  tengo ayuda;And I also have no help
münal ka;jodido pues;fucked then
feyti femkünuanlu eymi;y eso lo debes dejar asi;And you must leave that like this
kon kongewelan kangekünuan;no estare entrando mas ya no es agradable;I will not be entering anymore is not pleasant
fachantü nievuy feymu chi dungu ka fey;hoy dia tenia ese asunto por eso tambien;Today I had that matter for that too
feyta kellulanewürke engün;y como que ni me ayudaron;And how they didn't even help me
ka  kellu amulnievun;y lo estaba ayudando;And he was helping him
amulnekavun tati;lo estoy llevando pues;I am taking it then
amulnekavunem;apenas si lo estoy llevando;I am barely carrying it
dew kumplivun;ya lo cumpli;I already fulfilled it
mari epu kon chi kiyenmu;doce de cada mes;twelve of each month
mari dew tunemufi  niaymi;ya llevas diez vas a tener;You have been going to have ten
fentepum;demasiado;too
tañi;mi;me
empesay tañi mxx;empezo mi;I started
ahora estamos en el dos mil;ahora estamos en el dos mil;Now we are in the two thousand
uno en dos mil dos;uno en dos mil dos;one in two thousand two
en octubre cumplé sesenta y cinco;en octubre cumple sesenta y cinco anos;In October sixty -five years old
tiene que esperar la edad no dicen;tienen que esperar la edad nos dicen;They have to wait for age tell us
porque toda enfermedad que tenía;porque toda la enfermedad que tenia;because all the disease I had
era curable;era curable;It was curable
feypikünuvempay tachi wingka;eso vino a dejar dicho ahora el huinca;That came to let the huinca now
welu kidu ta engün;pero ahora solo a ellos;But now only to them
kellu vempingün  müte pichin;ayudan demasiado poco;They help too little
chumuelu anta mongerkelan pilafimi;como entonces no me he mejorado no le has dicho;as then I have not improved you have not told him
fey nierkelu nga  lawen pilafimi;si esto tiene remedio no le haz dicho;If this has a remedy, do not tell you
feypillefuiñ may;eso le habiamos dicho;we had told that
reclamakavuiñ pivel;le habiamos reclamado;We had claimed him
ka kelluntukupavenu tati;tambien me habia ayudado pues;I had also helped me
pilay tati wingka  chuchi püle küpay;no quiere el huinca por donde se vino;Huinca does not want where he came
kañpüle küpay;viene de otra parte;comes from another
traf wingka kelluwi;entre huincas se ayudan no;Between huincas they help
ka pu mapuche ta;tambien los mapuches;Also the Mapuches
kiñenkellengille ta fam entunengi;a unos le ayudan y a los otros los sacan a un lado;Some help them and others take them aside
fam entunengi;lo sacan a un lado;They take it aside
feymu chumul amulan;por eso la otra vez no fui;That's why the other time I wasn't
kellulafiñ  noam pipevun;ya que no me ayudarian dije;since I wouldn't help me said
plata pewetulielngeli;plata si no encuentro;Silver if I can't find
ka kullinge multa pingerumeli pitun;y pague multa si me dicen dije;and pay fine if they tell me I said
feychi ka amun;por eso fui otra vez;That's why I went again
mekepevenutew ta engün;ahora me han estado tratando ellos;now they have been treating me
a la fuerza yenümen;a la fuerza fui a buscar;By force I went to look for
kelluwelan ta eymi pipeviñ engün;ustedes ya no me ayudan le estuve diciendo;You no longer help me I was saying
welu   dullimimiam;pero fuiste a elegir;But you went to choose
dullimi ka fey;y cuando elegiste eso;And when you chose that
feychi  chemün ka;esa vez hice pues;That time I did then
dullimi;elegiste;You chose
dew vota;ya habia botado;He had already thrown away
feyti rulmekavun ta chemu;y eso lo habia hecho pasar;And that had made it happen
kude chi wingkamu;por un huinca de edad;For an age huinca
chem ka ta dullin pi;tambien dijo que era un elegido;He also said he was a chosen
newe entendelan ka lamngen;no entendi mucho pues hermana;I didn't understand much, sister
tami dullin wingka;tu huinca elegido;Your chosen huinca
dullin  elufiñ ta votamimi ka;le diste al elegido tambien botaste pues;You gave the chosen one you also boots then
feyti ta may;eso si;yes indeed
ka feychi chemu;y tambien en eso;And also in that
chem kimlan tañi chuchi ñi votavel;y no supe de parte de quien vote;And I don't know about who votes
puwlu inche;cuando llegue yo;When I arrive
famngechi ta wiripalu ta inche;cuando iba llegar a escribir yo;When I was going to write
kimwetulan chew tañi tuku votan ñi;no sabia donde tenia colocar mi voto;I didn't know where I had my vote
ini rume wirifimi ka;y a cualquiera le escribiste;And anyone wrote
chuchi tañi kompuvel chi;no se a cual le tocaria;I don't know which one would touch
kimwelan pelotupulan rume;no lo supe no lo pude ver siquiera;I couldn't even see it
chuchi señorayem rayan tüfi;quizas a cual  senora le raye esa vez;Maybe which lady rays that time
kimwetulan chuchimu tañi chemün;no supe donde lo hice;I didn't know where I did
inche küpa amulepelan rume;yo ni siquiera tenia ganas de ir;I didn't even feel like going
kelluwelafiñ engün pilepen;ya no les voy a ayudar estaba diciendo;I'm not going to help you, I was saying
chem rume konle;si no entra nada;If nothing enters
kelluwelan;no quiero ayudar mas;I don't want to help more
koneltuwelan pipiepeviñ ta;y no participare mas le estuvimos diciendo;And I won't participate anymore we were saying
kellukenolu inche;yo que nunca he ayudado;I have never helped
kellungekele feytuafun;si hubiera sido una ayuda le creeria;If it had been an aid I would believe
ayingün ñi kellungeal femngen;quieren que le ayuden y apenas;They want them to help him and barely
kelluvelafimi chem tati;no le ayudas mas pues;You don't help you anymore because
amulepeviñ ovrecepay wünelumu;cuando vaya lo vere vino a ofrecer en primer lugar;When I will see it came to offer in the first place
rüpülpayu pienu;te voy a ser camino me dijo;I'm going to be a way he told me
ta wünelkünuayu pi;te dejare en primer lugar dijo;I will leave you first said
trawünpanew akuy tüfa;me vino a ser reunir llego aca;I became gathering here
feymu trapümnepay;por eso vino a reunir;That's why he came to gather
pichi trapümpatew iñchiñ;cuando nos junto un poquito a nosotros;When we have a little bit to us
chmelen may kellupapey;yo estoy y le vengo a ofrecer mi ayuda;I am and I come to offer my help
feychi ka kellumuan votomu pi;esa vez dijo tienen que ayudarme con votos dijo;That time he said they have to help me with votes said
fey trapümpayiñmu;entonces nos vino a reunir;Then came to gather us
inche mekelkavn wentrumu veychi;yo estuve reclamando por los hombres esa vez;I was claiming for men that time
eymi wüne konaymi;usted entrara primero;You will enter first
eymi wünelkünuayu;yo a ti te dejare primero;I will leave you first
rüpümu pienu eperanien;en el camino me dijo y lo estoy esperando;On the way he told me and I'm waiting for him
petu akulay tañi rüpü;aun no llega a mi camino;It still does not reach my path
atrolowuayiñ tractor pi;les voy a facilitar tractor dijo;I'm going to provide a tractor said
chem pipalymu;que no nos dijo;who didn't tell us
chayma ka feypienu;chayma tambien me dijo;Chayma also told me
fan chew kelluwetulanew ta ka kelluwayiñ pi;y hoy no me ha ayudado y nos dijo que nos iba a ayudar;And today he has not helped me and told us that he was going to help us
dungukelafimi;no le hablas;You don't talk to him
ta feyti kake tie akuy;y ese apuesto que llego;And that handsome I arrived
kakelu wutukiyu;los otros lo visitan;The others visit it
kellulaymu rume;ni siquiera nos ayudo;I didn't even help us
taiñ tukupel pipatuyngün;a aquel que les abrimos la puerta llegaron a decir;To the one who opened the door they came to say
dunguñpelaiñ;no nos defendio;He did not defend us
yafkatukakünueymu pi nga;solo nos llamo la atencion dijo;I just caught our attention
kontungewelay ka;y no lo fueron a ver mas;And they didn't go to see more
konweputulayiñ tüfa;ahora ya n o recurrios a el;Now no longer resort to him
feletuyiñ femno ti;estamos asi;We are like that
tüfapüle iñchiñ;por aqui nosotros;here we
dungupay kiñe müleli;vino a hablar uno que estaba alli;One who was there came to speak
feyta engün;y estos;and these
ta kañpüle pu wingkamu;en otras partes los huincas;In other parts the huincas
wingka amutuyngün;se fueron donde los huincas;They went to the huincas
wingkamu inche;yo en los huincas;I in Los Huincas
feymu ta fem nagtun;por eso me arrepenti;that's why I regret
ka kelluntukuwelafiñ engün;y a ellos no les vuelvo a ayudar;And I don't help them again
ka pifun ka;tambien habia dicho pues;I had also said then
müna wedake dungumu rupakimi;en tantas cosas malas haz pasado;In so many bad things it has happened
tüfa inche ta rume sufriken;ahora yo he sufrido mucho;Now I have suffered a lot
ta kutrankawkiyiñ ka;y nos sacrificamos pues;And we sacrifice ourselves then
müna weya sufrin feytimu rupan;sufri mucho para pasar eso;I suffered a lot to happen that
weda sufriketuymi femuechi;ha sufrido mal asi;has suffered evil like this
kutrankawi ka duamngelay che;uno cuando esta sufriendo ni hablan las personas;one when people are suffering or speak
doyelki ka doyeluwki;se hace peor se hace peor;becomes worse it becomes worse
rume sufrin kutran;sufri mucho por enfermedad;I suffered a lot from illness
kutrankangi rume kutrankaw;es doloroso enfermarse mucho;It is painful to get sick a lot
doyeluwki che ta kellungelay ka;la persona se queda peor cuando no lo ayuda;The person gets worse when he doesn't help him
